abbreviation,ages,year,population
USA,under18,1990,64218512.0
USA,total,1990,249622814.0
USA,total,1991,252980942.0
USA,under18,1991,65313018.0
USA,under18,1992,66509177.0
USA,total,1992,256514231.0
USA,total,1993,259918595.0
USA,under18,1993,67594938.0
USA,under18,1994,68640936.0
USA,total,1994,263125826.0
USA,under18,1995,69473140.0
USA,under18,1996,70233512.0
USA,total,1995,266278403.0
USA,total,1996,269394291.0
USA,total,1997,272646932.0
USA,under18,1997,70920738.0
USA,under18,1998,71431406.0
USA,total,1998,275854116.0
USA,under18,1999,71946051.0
USA,total,2000,282162411.0
USA,under18,2000,72376189.0
USA,total,1999,279040181.0
USA,total,2001,284968955.0
USA,under18,2001,72671175.0
USA,total,2002,287625193.0
USA,under18,2002,72936457.0
USA,total,2003,290107933.0
USA,under18,2003,73100758.0
USA,total,2004,292805298.0
USA,under18,2004,73297735.0
USA,total,2005,295516599.0
USA,under18,2005,73523669.0
USA,total,2006,298379912.0
USA,under18,2006,73757714.0
USA,total,2007,301231207.0
USA,under18,2007,74019405.0
USA,total,2008,304093966.0
USA,under18,2008,74104602.0
USA,under18,2013,73585872.0
USA,total,2013,316128839.0
USA,total,2009,306771529.0
USA,under18,2009,74134167.0
USA,under18,2010,74119556.0
USA,total,2010,309326295.0
USA,under18,2011,73902222.0
USA,total,2011,311582564.0
USA,under18,2012,73708179.0
USA,total,2012,313873685.0
